Assays,Source,Gene,Tissue,Cell,Type of body mapping,,,,,,,,,,,,,,
APR_HepG2_NuclearSize_24h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_NuclearSize_72h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_NuclearSize_72h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_OxidativeStress_1h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_OxidativeStress_1h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_OxidativeStress_24h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_OxidativeStress_24h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_OxidativeStress_72h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_OxidativeStress_72h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_p53Act_1h_dn,APR,TP53,liver,HepG2,viability,,,,,,,,,,,,,,
APR_HepG2_p53Act_1h_up,APR,TP53,liver,HepG2,viability,,,,,,,,,,,,,,
APR_HepG2_p53Act_24h_dn,APR,TP53,liver,HepG2,viability,,,,,,,,,,,,,,
APR_HepG2_p53Act_24h_up,APR,TP53,liver,HepG2,viability,,,,,,,,,,,,,,
APR_HepG2_p53Act_72h_dn,APR,TP53,liver,HepG2,viability,,,,,,,,,,,,,,
APR_HepG2_p53Act_72h_up,APR,TP53,liver,HepG2,viability,,,,,,,,,,,,,,
APR_HepG2_StressKinase_1h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_StressKinase_1h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_StressKinase_24h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_StressKinase_24h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_StressKinase_72h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_StressKinase_72h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_Mitochondrial_mass_24hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Mitochondrial_mass_24hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Mitochondrial_mass_72hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Mitochondrial_mass_72hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Mitochondrial_membrane_potential_24hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Mitochondrial_membrane_potential_24hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Mitochondrial_membrane_potential_72hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Mitochondrial_membrane_potential_72hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Nuclear_size_1_24hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Nuclear_size_1_24hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Nuclear_size_1_72hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Nuclear_size_1_72hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Nuclear_size_2_24hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Nuclear_size_2_24hr_up,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
APR_Nuclear_size_2_72hr_dn,APR,NA,NA,NA,viability,,,,,,,,,,,,,,
